Profile_Name,Rating_Star,Headings,Base_Reviews,Unnamed: 4,category
sj,1.0 out of 5 stars,Canon MG7520 not supported.,"I have a Canon Pixma MG7520 and this app will not work with this printer.  When I sent my error message to them, this is the response:""this happens because the printer is not supported.Unfortunately we are not sure when or if we are going to be able to create a mobile driver for this printer. There are no drivers that are known to be compatible with this printer""",,Compatibility and Device Issues
SusieQ,2.0 out of 5 stars,Hate it!,The print quality is terrible. Doesn't seem to be compatible with my printer. Waste of money,,Compatibility and Device Issues
MissSandyDee,1.0 out of 5 stars,Not hp compatible.....,Wasn't compatible with my printer,,Compatibility and Device Issues
Kindle Customer,2.0 out of 5 stars,Not for Android?,"Unable to get it to print from any of my android devices.  Difficult to sync my printer with tne app, and untill would not work.",,Compatibility and Device Issues
Harold Livengood,3.0 out of 5 stars,Seek out an App that will use all the features your printer has,It was kind of useful with my wireless printer but I recommend sticking to what the printer manufacturer says,,Functionality and Features
Bishop-Caputo,1.0 out of 5 stars,Will not print to some Canon models,I thought this was finally going to be a great printing app for my kindle fire. It installed easy and picked up my Canon Wifi right away. Unfortunately it wouldn't print. It kept saying &#34;broken pipe&#34;.  I have a Canon MX452 and noticed the driver only says Canon mx45. There is no mx452 option:(,,Functionality and Features
cartpauj,3.0 out of 5 stars,Nice app,Nice app - will give 5 stars if they ever add direct support for Brother MFC-440CN over the network.,,Customer Support and Responsiveness
Jeanie C,1.0 out of 5 stars,Didn't work,"It seems that this app is not compatible with Kindles. A disappointment, but not the end of the world.",,Compatibility and Device Issues
BigErn,1.0 out of 5 stars,not useful,Not useful for me and totally unnessary.,,Functionality and Features
Msanza,1.0 out of 5 stars,No response from tech support,"The built in print driver on my Fire HD 8 could not find my old Brother printer. I needed something else and I found this which claimed to support my exact printer. I was not fooled like other reviewers. I knew this app was not free. First I downloaded the free app and ran a print test page. The test page color pattern came out fine. Success! Then I paid for the upgrade to the full version to print real documents. But no matter what I do, it prints only the first page and then stops. I sent email to tech support and asked for help or a refund. Nothing. Not even a reply to say they could not help me.I have seen other reviewers says that it works for them. That is great, but it definitely did not work for me and I got no help from them... not even an acknowledgement. If this is the kind of customer service they offer, all I can say is buyer beware! The test page in the free app does not guarantee that it will print real docs for you....",,Customer Support and Responsiveness
pete sulin,1.0 out of 5 stars,what printer,app couldn't find the wireless printer that ever other device was connected to,,Compatibility and Device Issues
keithian,1.0 out of 5 stars,DonÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t use if u want your privacy given away. ...,DonÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢t use if u want your privacy given away. Their policy says they have access to all your messages contacts and sites u visit.,,Security and Privacy Concerns
John Funk,3.0 out of 5 stars,A simple print driver,Basic print services without many options replacing a no longer functioning print driver across wifi.,,Functionality and Features
WolfDogGal,2.0 out of 5 stars,"When I downloaded to my kindle it looked good, but its an earlier Fire kindle that isn't ...","When I downloaded to my kindle it looked good, but its an earlier Fire kindle that isn't supported to work with Epson, so it didn't work and I dumped it.",,Customer Support and Responsiveness
R. L. Underhill,1.0 out of 5 stars,Printer software,It didn't work on my Fire tablet. I have the very first one and the message says it incompatible with my tablet.  Lucky me.,,Compatibility and Device Issues
